quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
107.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,433,3,125,1933
115.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,434,3,125,1933
114.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,435,3,125,1933
114.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,436,3,125,1933
114.000000,400,2022-11-05 13:29:09+00:00,2022-11-05 13:29:09+00:00,,423,3,118,2021
112.000000,400,2022-11-05 13:29:09+00:00,2022-11-05 13:29:09+00:00,,424,3,118,2021
117.000000,400,2022-11-05 13:36:03+00:00,2022-11-05 13:36:03+00:00,,431,3,123,2069
100.000000,400,2022-11-07 08:43:57+00:00,2022-11-07 08:43:57+00:00,,352,3,97,2112
101.000000,400,2022-11-07 10:41:13+00:00,2022-11-07 10:41:13+00:00,,438,3,127,2035
201.000000,400,2022-11-07 10:45:13+00:00,2022-11-07 10:45:13+00:00,,427,3,121,1961
107.000000,400,2022-11-07 10:56:08+00:00,2022-11-07 10:56:08+00:00,,433,3,125,1933
101.000000,400,2022-11-08 07:55:33+00:00,2022-11-08 07:55:33+00:00,,17,3,3,2126
101.000000,400,2022-11-08 07:56:20+00:00,2022-11-08 07:56:20+00:00,,18,3,3,2126
101.000000,400,2022-11-08 07:58:05+00:00,2022-11-08 07:58:05+00:00,,19,3,3,2126
1.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,17,3,3,2126
1.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,18,3,3,2126
1.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,19,3,3,2126
67.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,20,3,3,2126
150.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,21,3,3,2126
101.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,22,3,3,2126
67.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,23,3,3,2126
101.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,24,3,3,2126
101.000000,400,2022-11-08 08:13:49+00:00,2022-11-08 08:13:49+00:00,,29,3,5,2126
1.000000,400,2022-11-08 08:14:54+00:00,2022-11-08 08:14:54+00:00,,22,3,3,2126
1.000000,400,2022-11-08 08:15:40+00:00,2022-11-08 08:15:40+00:00,,24,3,3,2126
201.000000,400,2022-11-08 08:22:24+00:00,2022-11-08 08:22:24+00:00,,428,3,121,1961
201.000000,400,2022-11-08 08:22:24+00:00,2022-11-08 08:22:24+00:00,,429,3,121,1961
104.000000,400,2022-11-08 09:10:49+00:00,2022-11-08 09:10:49+00:00,,502,3,148,2072
120.000000,400,2022-11-08 09:10:49+00:00,2022-11-08 09:10:49+00:00,,503,3,148,2072
110.000000,400,2022-11-08 09:38:11+00:00,2022-11-08 09:38:11+00:00,,353,3,98,2112
119.000000,400,2022-11-08 09:38:11+00:00,2022-11-08 09:38:11+00:00,,354,3,98,2112
102.000000,400,2022-11-08 09:43:07+00:00,2022-11-08 09:43:07+00:00,,274,3,66,2124
102.000000,400,2022-11-08 09:43:07+00:00,2022-11-08 09:43:07+00:00,,275,3,66,2124
67.000000,400,2022-11-08 09:43:07+00:00,2022-11-08 09:43:07+00:00,,276,3,66,2124
151.000000,400,2022-11-08 09:43:07+00:00,2022-11-08 09:43:07+00:00,,277,3,66,2124
102.000000,400,2022-11-08 09:43:07+00:00,2022-11-08 09:43:07+00:00,,278,3,66,2124
67.000000,400,2022-11-08 09:43:07+00:00,2022-11-08 09:43:07+00:00,,279,3,66,2124
101.000000,400,2022-11-08 09:48:48+00:00,2022-11-08 09:48:48+00:00,,438,3,127,2035
60.000000,400,2022-11-08 10:21:55+00:00,2022-11-08 10:21:55+00:00,,577,3,174,2140
60.000000,400,2022-11-08 10:21:55+00:00,2022-11-08 10:21:55+00:00,,578,3,174,2140
33.000000,400,2022-11-08 10:21:55+00:00,2022-11-08 10:21:55+00:00,,582,3,174,2140
65.000000,400,2022-11-08 10:23:41+00:00,2022-11-08 10:23:41+00:00,,604,3,178,2139
65.000000,400,2022-11-08 10:23:42+00:00,2022-11-08 10:23:42+00:00,,605,3,178,2139
33.000000,400,2022-11-08 10:23:42+00:00,2022-11-08 10:23:42+00:00,,609,3,178,2139
117.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,310,3,81,2116
126.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,311,3,81,2116
103.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,315,3,81,2116
68.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,316,3,81,2116
129.000000,400,2022-11-08 10:49:43+00:00,2022-11-08 10:49:43+00:00,,192,3,47,2131
118.000000,400,2022-11-08 10:49:43+00:00,2022-11-08 10:49:43+00:00,,193,3,47,2131
110.000000,400,2022-11-08 10:49:43+00:00,2022-11-08 10:49:43+00:00,,194,3,47,2131
153.000000,400,2022-11-08 10:49:43+00:00,2022-11-08 10:49:43+00:00,,197,3,47,2131
68.000000,400,2022-11-08 10:49:43+00:00,2022-11-08 10:49:43+00:00,,199,3,47,2131
146.000000,400,2022-11-08 10:51:49+00:00,2022-11-08 10:51:49+00:00,,229,3,58,2129
114.000000,400,2022-11-08 11:06:24+00:00,2022-11-08 11:06:24+00:00,,369,3,104,2110
110.000000,400,2022-11-08 11:06:24+00:00,2022-11-08 11:06:24+00:00,,370,3,104,2110
125.000000,400,2022-11-08 11:06:24+00:00,2022-11-08 11:06:24+00:00,,371,3,104,2110
101.000000,400,2022-11-08 11:06:24+00:00,2022-11-08 11:06:24+00:00,,374,3,104,2110
626.000000,400,2022-11-08 11:20:29+00:00,2022-11-08 11:20:29+00:00,,88,3,14,1971
603.000000,400,2022-11-08 11:20:29+00:00,2022-11-08 11:20:29+00:00,,89,3,14,1971
603.000000,400,2022-11-08 11:20:29+00:00,2022-11-08 11:20:29+00:00,,90,3,14,1971
164.000000,400,2022-11-08 12:41:07+00:00,2022-11-08 12:41:07+00:00,,537,3,162,1996
116.000000,400,2022-11-08 12:43:34+00:00,2022-11-08 12:43:34+00:00,,439,3,127,2035
215.000000,400,2022-11-08 12:46:26+00:00,2022-11-08 12:46:26+00:00,,505,3,150,2012
220.000000,400,2022-11-08 12:46:26+00:00,2022-11-08 12:46:26+00:00,,506,3,150,2012
210.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,508,3,152,1985
210.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,509,3,152,1985
220.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,511,3,152,1985
200.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,514,3,152,1985
1023.000000,400,2022-11-08 13:37:37+00:00,2022-11-08 13:37:37+00:00,,519,3,155,1902
104.000000,400,2022-11-08 14:20:03+00:00,2022-11-08 14:20:03+00:00,,156,3,35,2135
104.000000,400,2022-11-08 14:20:03+00:00,2022-11-08 14:20:03+00:00,,157,3,35,2135
139.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,142,3,31,2134
117.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,143,3,31,2134
119.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,144,3,31,2134
120.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,145,3,31,2134
117.000000,400,2022-11-08 14:40:59+00:00,2022-11-08 14:40:59+00:00,,230,3,58,2129
101.000000,400,2022-11-08 14:45:38+00:00,2022-11-08 14:45:38+00:00,,376,3,105,2110
250.000000,400,2022-11-08 14:50:20+00:00,2022-11-08 14:50:20+00:00,,346,3,94,2113
314.000000,400,2022-11-09 10:03:16+00:00,2022-11-09 10:03:16+00:00,,51,3,7,2125
252.000000,400,2022-11-09 10:03:44+00:00,2022-11-09 10:03:44+00:00,,53,3,7,2125
114.000000,400,2022-11-09 10:07:36+00:00,2022-11-09 10:07:36+00:00,,250,3,62,2127
112.000000,400,2022-11-09 10:07:36+00:00,2022-11-09 10:07:36+00:00,,251,3,62,2127
125.000000,400,2022-11-09 10:07:36+00:00,2022-11-09 10:07:36+00:00,,252,3,62,2127
150.000000,400,2022-11-09 10:07:36+00:00,2022-11-09 10:07:36+00:00,,254,3,62,2127
105.000000,400,2022-11-09 10:07:36+00:00,2022-11-09 10:07:36+00:00,,255,3,62,2127
67.000000,400,2022-11-09 10:07:36+00:00,2022-11-09 10:07:36+00:00,,256,3,62,2127
118.000000,400,2022-11-09 10:13:09+00:00,2022-11-09 10:13:09+00:00,,168,3,39,2133
112.000000,400,2022-11-09 10:13:09+00:00,2022-11-09 10:13:09+00:00,,169,3,39,2133
125.000000,400,2022-11-09 10:13:09+00:00,2022-11-09 10:13:09+00:00,,172,3,39,2133
139.000000,400,2022-11-09 10:18:04+00:00,2022-11-09 10:18:04+00:00,,180,3,43,2132
103.000000,400,2022-11-09 10:18:04+00:00,2022-11-09 10:18:04+00:00,,181,3,43,2132
101.000000,400,2022-11-09 10:27:28+00:00,2022-11-09 10:27:28+00:00,,257,3,63,2127
112.000000,400,2022-11-09 10:27:28+00:00,2022-11-09 10:27:28+00:00,,258,3,63,2127
116.000000,400,2022-11-09 10:36:08+00:00,2022-11-09 10:36:08+00:00,,203,3,49,2131
113.000000,400,2022-11-09 10:36:08+00:00,2022-11-09 10:36:08+00:00,,204,3,49,2131
109.000000,400,2022-11-09 10:41:29+00:00,2022-11-09 10:41:29+00:00,,333,3,90,2114
104.000000,400,2022-11-09 10:41:29+00:00,2022-11-09 10:41:29+00:00,,334,3,90,2114
105.000000,400,2022-11-09 10:41:29+00:00,2022-11-09 10:41:29+00:00,,335,3,90,2114
149.000000,400,2022-11-09 10:41:29+00:00,2022-11-09 10:41:29+00:00,,337,3,90,2114
105.000000,400,2022-11-09 10:41:29+00:00,2022-11-09 10:41:29+00:00,,338,3,90,2114
66.000000,400,2022-11-09 10:41:30+00:00,2022-11-09 10:41:30+00:00,,339,3,90,2114
100.000000,400,2022-11-09 10:43:45+00:00,2022-11-09 10:43:45+00:00,,340,3,91,2114
0.200000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,229,3,58,2129
0.200000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,230,3,58,2129
102.000000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,231,3,58,2129
102.000000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,234,3,58,2129
67.000000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,235,3,58,2129
102.000000,400,2022-11-09 14:08:44+00:00,2022-11-09 14:08:44+00:00,,243,3,59,2129
200.000000,400,2022-11-09 14:14:51+00:00,2022-11-09 14:14:51+00:00,,327,3,85,2115
200.000000,400,2022-11-09 14:15:43+00:00,2022-11-09 14:15:43+00:00,,329,3,86,2115
118.000000,400,2022-11-09 14:19:13+00:00,2022-11-09 14:19:13+00:00,,176,3,40,2133
100.000000,400,2022-11-09 14:43:39+00:00,2022-11-09 14:43:39+00:00,,336,3,90,2114
252.000000,400,2022-11-09 14:52:11+00:00,2022-11-09 14:52:11+00:00,,57,3,7,2125
167.000000,400,2022-11-09 14:52:11+00:00,2022-11-09 14:52:11+00:00,,58,3,7,2125
102.000000,400,2022-11-09 14:56:31+00:00,2022-11-09 14:56:31+00:00,,147,3,31,2134
67.000000,400,2022-11-09 14:56:31+00:00,2022-11-09 14:56:31+00:00,,149,3,31,2134
103.000000,400,2022-11-10 08:25:29+00:00,2022-11-10 08:25:29+00:00,,425,3,119,2021
107.000000,400,2022-11-10 08:47:30+00:00,2022-11-10 08:47:30+00:00,,342,3,91,2114
120.000000,400,2022-11-10 08:49:59+00:00,2022-11-10 08:49:59+00:00,,184,3,43,2132
67.000000,400,2022-11-10 08:54:31+00:00,2022-11-10 08:54:31+00:00,,253,3,62,2127
109.000000,400,2022-11-10 08:55:43+00:00,2022-11-10 08:55:43+00:00,,259,3,64,2127
112.000000,400,2022-11-10 08:55:43+00:00,2022-11-10 08:55:43+00:00,,260,3,64,2127
117.000000,400,2022-11-10 08:55:43+00:00,2022-11-10 08:55:43+00:00,,261,3,64,2127
232.000000,400,2022-11-10 09:02:01+00:00,2022-11-10 09:02:01+00:00,,451,3,133,2145
225.000000,400,2022-11-10 09:02:01+00:00,2022-11-10 09:02:01+00:00,,452,3,133,2145
219.000000,400,2022-11-10 09:02:01+00:00,2022-11-10 09:02:01+00:00,,453,3,133,2145
128.000000,400,2022-11-10 09:02:01+00:00,2022-11-10 09:02:01+00:00,,456,3,133,2145
232.000000,400,2022-11-10 09:07:50+00:00,2022-11-10 09:07:50+00:00,,477,3,141,2147
225.000000,400,2022-11-10 09:07:50+00:00,2022-11-10 09:07:50+00:00,,478,3,141,2147
219.000000,400,2022-11-10 09:07:50+00:00,2022-11-10 09:07:50+00:00,,479,3,141,2147
232.000000,400,2022-11-10 09:15:24+00:00,2022-11-10 09:15:24+00:00,,458,3,134,2145
232.000000,400,2022-11-10 09:17:37+00:00,2022-11-10 09:17:37+00:00,,471,3,138,2146
100.000000,400,2022-11-10 09:19:40+00:00,2022-11-10 09:19:40+00:00,,188,3,44,2132
232.000000,400,2022-11-11 07:45:11+00:00,2022-11-11 07:45:11+00:00,,464,3,137,2146
225.000000,400,2022-11-11 07:45:11+00:00,2022-11-11 07:45:11+00:00,,465,3,137,2146
219.000000,400,2022-11-11 07:45:11+00:00,2022-11-11 07:45:11+00:00,,466,3,137,2146
128.000000,400,2022-11-11 07:45:11+00:00,2022-11-11 07:45:11+00:00,,469,3,137,2146
142.000000,400,2022-11-11 08:04:55+00:00,2022-11-11 08:04:55+00:00,,284,3,70,2123
127.000000,400,2022-11-11 08:04:55+00:00,2022-11-11 08:04:55+00:00,,285,3,70,2123
126.000000,400,2022-11-11 08:04:55+00:00,2022-11-11 08:04:55+00:00,,286,3,70,2123
232.000000,400,2022-11-11 08:08:05+00:00,2022-11-11 08:08:05+00:00,,484,3,142,2147
148.000000,400,2022-11-11 08:14:51+00:00,2022-11-11 08:14:51+00:00,,244,3,59,2129
115.000000,400,2022-11-11 08:14:51+00:00,2022-11-11 08:14:51+00:00,,245,3,59,2129
252.000000,400,2022-11-11 08:16:56+00:00,2022-11-11 08:16:56+00:00,,45,3,9,2125
101.000000,400,2022-11-11 09:10:40+00:00,2022-11-11 09:10:40+00:00,,372,3,104,2110
150.000000,400,2022-11-11 09:10:40+00:00,2022-11-11 09:10:40+00:00,,373,3,104,2110
67.000000,400,2022-11-11 09:10:40+00:00,2022-11-11 09:10:40+00:00,,375,3,104,2110
110.000000,400,2022-11-11 09:11:11+00:00,2022-11-11 09:11:11+00:00,,377,3,106,2110
108.000000,400,2022-11-11 09:11:12+00:00,2022-11-11 09:11:12+00:00,,378,3,106,2110
117.000000,400,2022-11-11 09:14:00+00:00,2022-11-11 09:14:00+00:00,,312,3,81,2116
79.000000,400,2022-11-11 09:14:00+00:00,2022-11-11 09:14:00+00:00,,313,3,81,2116
165.000000,400,2022-11-11 09:14:00+00:00,2022-11-11 09:14:00+00:00,,314,3,81,2116
118.000000,400,2022-11-11 09:14:43+00:00,2022-11-11 09:14:43+00:00,,319,3,83,2116
126.000000,400,2022-11-11 09:14:43+00:00,2022-11-11 09:14:43+00:00,,320,3,83,2116
380.000000,400,2022-11-11 10:13:38+00:00,2022-11-11 10:13:38+00:00,,91,3,14,1971
925.000000,400,2022-11-11 10:13:38+00:00,2022-11-11 10:13:38+00:00,,92,3,14,1971
252.000000,400,2022-11-11 10:31:03+00:00,2022-11-11 10:31:03+00:00,,52,3,7,2125
167.000000,400,2022-11-11 10:31:03+00:00,2022-11-11 10:31:03+00:00,,54,3,7,2125
252.000000,400,2022-11-11 10:31:03+00:00,2022-11-11 10:31:03+00:00,,55,3,7,2125
117.000000,400,2022-11-11 10:35:02+00:00,2022-11-11 10:35:02+00:00,,31,3,4,2126
118.000000,400,2022-11-11 10:35:02+00:00,2022-11-11 10:35:02+00:00,,32,3,4,2126
1.000000,400,2022-11-11 10:42:45+00:00,2022-11-11 10:42:45+00:00,,329,3,86,2115
218.000000,400,2022-11-11 10:43:04+00:00,2022-11-11 10:43:04+00:00,,330,3,87,2115
0.900000,400,2022-11-11 10:49:32+00:00,2022-11-11 10:49:32+00:00,,158,3,35,2135
61.000000,400,2022-11-11 10:49:32+00:00,2022-11-11 10:49:32+00:00,,159,3,35,2135
151.000000,400,2022-11-11 10:49:32+00:00,2022-11-11 10:49:32+00:00,,160,3,35,2135
102.000000,400,2022-11-11 10:49:32+00:00,2022-11-11 10:49:32+00:00,,161,3,35,2135
102.000000,400,2022-11-11 10:49:57+00:00,2022-11-11 10:49:57+00:00,,163,3,36,2135
151.000000,400,2022-11-11 10:51:16+00:00,2022-11-11 10:51:16+00:00,,146,3,31,2134
67.000000,400,2022-11-11 10:51:16+00:00,2022-11-11 10:51:16+00:00,,148,3,31,2134
102.000000,400,2022-11-11 10:53:47+00:00,2022-11-11 10:53:47+00:00,,150,3,32,2134
120.000000,400,2022-11-11 10:53:48+00:00,2022-11-11 10:53:48+00:00,,151,3,32,2134
104.000000,400,2022-11-11 10:55:24+00:00,2022-11-11 10:55:24+00:00,,164,3,36,2135
100.000000,400,2022-11-11 10:57:45+00:00,2022-11-11 10:57:45+00:00,,364,3,101,2111
122.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,356,3,100,2111
110.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,357,3,100,2111
110.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,358,3,100,2111
110.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,359,3,100,2111
66.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,360,3,100,2111
149.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,361,3,100,2111
100.000000,400,2022-11-11 11:00:42+00:00,2022-11-11 11:00:42+00:00,,362,3,100,2111
66.000000,400,2022-11-11 11:00:43+00:00,2022-11-11 11:00:43+00:00,,363,3,100,2111
200.000000,400,2022-11-11 11:04:03+00:00,2022-11-11 11:04:03+00:00,,457,3,134,2145
102.000000,400,2022-11-11 13:52:51+00:00,2022-11-11 13:52:51+00:00,,289,3,70,2123
67.000000,400,2022-11-11 13:52:51+00:00,2022-11-11 13:52:51+00:00,,290,3,70,2123
102.000000,400,2022-11-11 14:06:48+00:00,2022-11-11 14:06:48+00:00,,280,3,67,2124
110.000000,400,2022-11-11 14:10:51+00:00,2022-11-11 14:10:51+00:00,,281,3,68,2124
108.000000,400,2022-11-11 14:10:52+00:00,2022-11-11 14:10:52+00:00,,282,3,68,2124
102.000000,400,2022-11-12 08:23:54+00:00,2022-11-12 08:23:54+00:00,,291,3,71,2123
200.000000,400,2022-11-12 08:26:29+00:00,2022-11-12 08:26:29+00:00,,470,3,138,2146
128.000000,400,2022-11-12 08:28:20+00:00,2022-11-12 08:28:20+00:00,,482,3,141,2147
200.000000,400,2022-11-12 08:28:37+00:00,2022-11-12 08:28:37+00:00,,483,3,142,2147
135.000000,400,2022-11-12 09:24:06+00:00,2022-11-12 09:24:06+00:00,,195,3,47,2131
68.000000,400,2022-11-12 09:24:06+00:00,2022-11-12 09:24:06+00:00,,196,3,47,2131
103.000000,400,2022-11-12 09:24:06+00:00,2022-11-12 09:24:06+00:00,,198,3,47,2131
103.000000,400,2022-11-12 09:25:14+00:00,2022-11-12 09:25:14+00:00,,200,3,48,2131
119.000000,400,2022-11-12 09:25:14+00:00,2022-11-12 09:25:14+00:00,,201,3,48,2131
110.000000,400,2022-11-12 09:25:38+00:00,2022-11-12 09:25:38+00:00,,202,3,49,2131
257.000000,400,2022-11-12 09:28:44+00:00,2022-11-12 09:28:44+00:00,,775,3,11,2128
257.000000,400,2022-11-12 09:28:44+00:00,2022-11-12 09:28:44+00:00,,776,3,11,2128
67.000000,400,2022-11-12 09:43:00+00:00,2022-11-12 09:43:00+00:00,,287,3,70,2123
151.000000,400,2022-11-12 09:43:00+00:00,2022-11-12 09:43:00+00:00,,288,3,70,2123
120.000000,400,2022-11-12 09:44:22+00:00,2022-11-12 09:44:22+00:00,,292,3,72,2123
116.000000,400,2022-11-12 09:44:22+00:00,2022-11-12 09:44:22+00:00,,293,3,72,2123
104.000000,400,2022-11-12 09:50:31+00:00,2022-11-12 09:50:31+00:00,,30,3,4,2126
120.000000,400,2022-11-12 10:00:01+00:00,2022-11-12 10:00:01+00:00,,28,3,5,2126
60.000000,400,2022-11-12 10:04:11+00:00,2022-11-12 10:04:11+00:00,,694,3,206,2034
50.000000,400,2022-11-12 10:04:11+00:00,2022-11-12 10:04:11+00:00,,695,3,206,2034
60.000000,400,2022-11-12 10:07:04+00:00,2022-11-12 10:07:04+00:00,,772,3,239,2041
50.000000,400,2022-11-12 10:07:04+00:00,2022-11-12 10:07:04+00:00,,773,3,239,2041
13.000000,400,2022-11-12 11:21:19+00:00,2022-11-12 11:21:19+00:00,,181,3,43,2132
100.000000,400,2022-11-14 10:06:00+00:00,2022-11-14 10:06:00+00:00,,699,3,210,2036
100.000000,400,2022-11-14 10:08:12+00:00,2022-11-14 10:08:12+00:00,,697,3,208,2037
41.000000,400,2022-11-14 10:11:44+00:00,2022-11-14 10:11:44+00:00,,694,3,206,2034
51.000000,400,2022-11-14 10:11:44+00:00,2022-11-14 10:11:44+00:00,,695,3,206,2034
50.000000,400,2022-11-14 10:21:37+00:00,2022-11-14 10:21:37+00:00,,685,3,204,2056
50.000000,400,2022-11-14 10:21:37+00:00,2022-11-14 10:21:37+00:00,,686,3,204,2056
50.000000,400,2022-11-14 10:21:37+00:00,2022-11-14 10:21:37+00:00,,687,3,204,2056
50.000000,400,2022-11-14 10:32:33+00:00,2022-11-14 10:32:33+00:00,,498,3,146,2055
50.000000,400,2022-11-14 10:32:33+00:00,2022-11-14 10:32:33+00:00,,499,3,146,2055
50.000000,400,2022-11-14 10:32:33+00:00,2022-11-14 10:32:33+00:00,,500,3,146,2055
50.000000,400,2022-11-14 10:33:19+00:00,2022-11-14 10:33:19+00:00,,490,3,145,2055
50.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,491,3,145,2055
50.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,492,3,145,2055
50.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,493,3,145,2055
33.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,494,3,145,2055
80.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,495,3,145,2055
50.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,496,3,145,2055
33.000000,400,2022-11-14 10:33:20+00:00,2022-11-14 10:33:20+00:00,,497,3,145,2055
66.000000,400,2022-11-14 10:41:55+00:00,2022-11-14 10:41:55+00:00,,170,3,39,2133
100.000000,400,2022-11-14 10:41:55+00:00,2022-11-14 10:41:55+00:00,,171,3,39,2133
149.000000,400,2022-11-14 10:41:55+00:00,2022-11-14 10:41:55+00:00,,173,3,39,2133
66.000000,400,2022-11-14 10:41:55+00:00,2022-11-14 10:41:55+00:00,,174,3,39,2133
